country,tert_b_grad_rate,tert_a_grad_rate,year,education_spending,ancillary_spending,rd_spending,total_spending,partner_country,tert_percent_gdp,tert_a_percent_gdp,tert_b_percent_gdp,all_ed_percent_gdp,population,gdp_usd,gdp_usd_capita
Greece,NA,NA,2004,4072.28230789786,448.459195380294,1071.95938368676,5592.70088696492,0,0.011202201950497299,0.00943825391669212,0.00176394803380518,0.0343465078560435,10955142,278691884000,25439.31884
Hungary,0.0345280206456206,0.288336060373326,2004,5312.50243410542,294.499205048936,1488.22757305887,7095.22921221323,0,0.0108139254946485,0.0103570906038175,NA,0.0557034222782963,10107140,164327258000,16258.522242
Iceland,0.052835820895522405,0.5,2004,NA,NA,NA,8880.76610577091,0,0.0120503828307756,NA,NA,0.079732883596848,292077,10393946000,35522.714459
Italy,0.004903580176809,0.36828549728363397,2004,4497.96818410291,313.774638892189,2911.51072235278,7723.25354534788,0,0.00943697431447165,0.00932314552077173,NA,0.0486133965588576,57828178,1703460096000,29457.256087
Japan,0.26458049738219896,0.36089637305699496,2004,NA,NA,NA,12192.7351443709,0,0.0129895482143701,0.0109015297662578,0.00208801844811227,0.047521791810766094,127687000,3940077560000,30845.95769
Mexico,NA,NA,2004,4834.04047193801,NA,944.30352129605,5778.34399323406,0,0.0128350293989639,NA,NA,0.06382388688692439,104272444,1263142485000,11921.837103
Netherlands,NA,0.40159026680078597,2004,8633.8921865178,2.66624055525898,5209.83404497604,13846.3924720491,0,0.012721897574368599,0.012721897574368599,NA,0.050710058507228706,16281777.000000002,582563820000,35779.622867
New Zealand,0.210259849119866,0.48440363048404017,2004,8239.68081318217,NA,626.608321699131,8866.2891348813,0,0.014366944910338998,0.0121213592651479,0.0022455856451911,0.0688326858102192,4087500.0000000005,102514645000,24995.646468
Norway,0.0298321595956126,0.45426656251248404,2004,10264.768987336,183.863997964211,4548.11568033517,14996.7486656353,0,0.01439,NA,NA,0.062212736315278495,4591909,195223614000,42513.853145
Poland,0.002,0.44825531622272197,2004,3891.16841460387,1.85967660417193,519.228011873291,4412.25610308134,0,0.0154780585084752,0.015354652190462099,NA,0.0596512307557173,38180249,509450660000,13343.390787
Portugal,0.0829681506054525,0.3282031543071938,2004,NA,NA,NA,7740.72825271955,0,0.0101324733007662,0.0070545795554576695,0.0030778937453085097,0.0543202313178545,10483861,224984020000,21459.954835
Slovak Republic,0.0312869144743379,0.27708644347093,2004,4780.52871118886,1159.59745520198,594.440505412687,6534.56667180353,0,0.010982193183472499,0.010982193183472499,NA,0.0476113782878424,5382574,81732325000,15185.209483
